start	end	text
96500	96680	for
96680	96920	me
98040	98320	[*]
98320	98540	I
98540	98940	thought
98940	99460	of
99460	100820	doing...going
100820	101040	to
101040	101340	physical
101340	101760	therapy
101760	102180	school
102340	103140	because
103140	103300	I
103300	103540	also
103540	103740	really
103740	104020	love
104020	104300	working
104300	104480	out
104480	104820	and
104820	104840	[*]
104840	105700	just
105700	106020	sports
106020	106220	and
106220	106520	playing
106520	106820	sports
106820	107060	and
107060	107180	things
107180	107440	like
107440	107640	that
107720	107920	so
107920	108680	[*]
108680	108960	yeah
109060	109260	but
109260	109380	I
109380	109580	felt
109580	109720	like
109720	109840	there
109840	109980	was
109980	110180	just
110180	110420	an
110420	110920	itch
110920	111040	there
111040	111200	that
111200	111360	that
111360	111800	wouldn't
111800	112060	[*]
112060	112200	scratch
112280	112460	and
112460	112520	I
112520	113100	wouldn't...like
113200	113320	I'd
113320	113420	be
113420	113660	okay
113660	113840	with
113840	114080	it
114120	114240	but
114240	114340	I
114340	114540	wouldn't
114540	114660	be
114720	114940	like
115040	115680	[*]
115680	116000	super
116000	116360	happy
116360	116600	with
116600	116820	it
116820	117100	going
117100	117360	In
117360	117780	the
117780	118020	long
118020	118240	run
118420	119280	because
119280	119440	I
119440	119720	love
119740	120080	like
120200	120680	building
120680	120860	and
120860	121220	creating
121220	121700	things
121700	122000	and
122000	122620	just
122620	122860	all
122860	122940	that
122940	123120	type
123120	123260	of
123260	123460	stuff
123560	123780	so
123780	124000	[*]
124000	124960	engineering
124960	125400	seemed
125400	125580	like
125580	125660	a
125660	125900	good
125900	126520	[*]
126520	126700	fit
126920	128200	[*]
128200	128360	and
128360	128940	mechanical
128940	129220	is
129220	129380	just
129380	129540	so
129540	129860	broad
129860	130020	I
130020	130260	could
130260	130360	do
130360	130600	just
130600	130780	about
130780	131100	anything
131100	131420	with
131420	131680	it
131720	132820	[*]
132820	133580	yeah
133720	135960	[*]
135960	137260	yeah
137260	137520	[*]
137520	137760	yeah
137760	138160	[*]
138160	138500	yeah
138500	139920	[*]
139920	140440	mm-hmm
140440	141180	yep
147100	147640	[*]
147640	148320	Pretty
148320	148660	good
148660	149100	I
149100	149520	[*]
149520	150840	don't
150840	150880	know
150920	151000	I've
151000	151160	always
151160	151300	had
151300	151440	a
151440	151600	hard
151600	151780	time
151780	152040	making
152040	152360	friends
152460	152640	but
152640	152780	I
152780	153320	[*]
153320	153620	made
153620	153960	friends
153960	154220	with
154220	154420	[*]
154420	154540	some
154540	154940	grad
154940	155340	[*]
155340	155460	students
155460	155820	playing
155820	156160	volleyball
156400	156640	so
156640	157000	[*]
157000	157380	that's
157380	157500	been
157500	157740	fun
157740	158180	They're
158180	158380	all
158380	158780	in
158780	159040	the
159040	159660	like
159700	160340	biomedical
160340	160840	engineering
160840	161160	[*]
161160	161380	department
161380	161900	for
161900	162020	the
162020	162160	most
162160	162420	part
162480	162660	so
162660	163160	[*]
163160	163880	it's
163880	164120	fun
164120	164400	playing
164400	164760	[*]
164760	164900	volleyball
164900	165120	with
165120	165340	them
165400	165500	and
165500	165680	I've
165680	166040	just
166040	166200	met
166200	166300	a
166300	166440	lot
166440	166540	of
166540	166740	people
166740	166920	through
166920	167260	volleyball
167520	167740	so
167740	168240	yeah
169020	169140	but
169140	169400	[*]
169400	169640	doing
169640	169920	stuff
169920	170080	with
170080	170340	them
170440	172100	[*]
172100	172320	yeah
172480	172660	it's
172660	172740	been
172740	172900	good
172960	173260	it's
173260	173340	been
173340	173520	good
177040	179640	[*]
179640	180420	Yeah
180560	180960	[*]
180960	181060	yeah
181160	181680	everything's
181680	181820	fine
181820	182160	there
183220	183680	My
183680	184060	parents
184060	184340	live
184340	184600	an
184600	184860	hour
184860	185080	away
185080	185300	from
185300	185460	here
185520	185620	so
185620	185740	I
185740	185840	can
185840	185940	go
185940	186180	back
186180	186300	and
186300	186540	visit
186540	186880	fairly
186880	187280	regularly
187440	187840	so
187840	188400	that's
188400	188580	nice
203900	203920	I
203920	205180	[*]
205180	205580	mean
205700	206020	since
206020	206320	coming
206320	206500	to
206500	206860	college
206860	207180	and
207180	207520	kind
207520	207660	of
207660	208840	[*]
208840	209220	really
209220	209400	in
209400	209500	the
209500	209700	last
209740	210020	say
210080	211620	[*]
211620	212100	two
212100	212540	[*]
212540	212700	years
212740	213140	I've
213140	213340	[*]
213340	213580	definitely
213580	214040	become
214040	214300	more
214300	214800	confident
214800	215040	I
215040	215280	was
215280	215740	very
215740	216160	shy
216160	216520	growing
216520	216900	up
216980	217340	[*]
217340	217740	and
217740	218040	I
218040	218220	went
218220	218380	to
218380	218500	a
218500	219020	small
219020	219420	[*]
219420	219600	school
220040	220500	My
220500	220840	graduating
220840	221240	class
221240	221520	was
221520	222000	[*]
222000	222260	82
222260	222700	people
222880	223380	[*]
223380	224000	yeah
224100	224420	[*]
224420	224560	yeah
224720	225420	so
225580	225980	like
226020	226200	you
226200	226380	know
226380	226740	everyone
226980	227240	and
227240	227520	[*]
227520	227740	I
227740	228040	was
228040	228580	definitely
228880	229500	different
229500	230220	[*]
230220	231020	interest-wise
231020	232260	[*]
232260	232480	than
232480	232780	a
232780	232960	lot
232960	233060	of
233060	233320	people
233320	233560	there
233600	233780	because
233860	234080	like
234140	234460	I
234460	234720	mean
234740	235340	music-wise
235340	235520	everyone
235520	236080	listened
236080	236220	to
236220	236920	either...
237040	237380	[*]
237380	237620	like
237720	237940	[*]
237940	238460	rap
238540	238980	hip-hop
238980	239240	stuff
239280	239460	or
239460	239660	country
239880	240320	[*]
240320	240760	it's
240760	240860	like
240920	241480	you
241480	241660	get
241660	241860	two
241900	242280	you
242280	242440	get
242440	242600	two
242600	242900	things
243040	243460	and
243460	243580	I
243580	243740	really
243740	243980	liked
243980	244260	electronic
244260	244720	music
244840	245040	like
245080	245480	EDM
245480	245660	[*]
245660	245780	stuff
245900	246180	for
246180	246400	one
246480	246640	and
246640	246700	then
246700	246980	just
247080	247440	[*]
247440	247640	I
247640	247660	[*]
247660	247840	was
247840	248080	super
248080	248280	into
248620	249520	[*]
249520	249960	like
250060	250120	I
250120	250460	remember
250460	250820	in
250820	251240	middle
251240	251540	[*]
251540	251660	school
251660	252800	going
252800	252940	to
252940	253040	my
253040	253620	grandparents'
253620	253860	after
253860	254060	[*]
254060	254220	school
254280	254480	because
254480	254620	my
254620	254880	parents
254880	255040	were
255040	255260	still
255260	255380	[*]
255380	255600	working
255760	256700	[*]
256700	257060	so
257060	257540	I
257540	257700	went
257700	257920	there
257920	258140	until
258140	258340	my
258340	258760	mom
258760	258940	got
258940	259080	off
259080	259420	work
259580	260000	and
260000	260180	I'd
260180	260260	be
260260	260560	watching
260560	260840	like
260980	261720	astrophysics
261720	262000	videos
262000	262400	[*]
262400	262580	on
262580	262920	YouTube
263140	263880	[*]
263880	264040	so
264160	264620	yeah
264740	265240	I
265240	265480	was
265480	265940	just
265940	266540	[*]
266540	266760	a
266760	267200	good
267200	267400	bit
267400	267580	different
267580	267800	A
267800	267820	good
267820	267840	bit
267840	267860	different
267860	268100	from
268100	268500	everyone
268500	268920	[*]
268920	269200	else
269200	269440	[*]
269440	269620	there
269680	270260	[*]
270260	270480	and
270480	270720	never
270720	271040	really
271040	271300	[*]
271300	271540	fit
271540	271680	[*]
271680	271880	in
271900	272000	and
272000	272040	was
272040	272180	just
272180	272320	kind
272320	272440	of
272440	272660	shy
272660	272860	and
272860	273160	quiet
273160	273320	to
273320	273520	begin
273520	273760	with
273800	273920	so
273920	274040	that
274040	274340	didn't
274340	274560	help
274560	275000	that
275040	275680	[*]
275680	276220	but
276300	277000	[*]
277000	277600	you
277600	277920	[*]
277920	278480	know
278520	278620	going
278620	278800	to
278800	278940	[*]
278940	279100	college
279100	279320	a
279320	279880	lot
279880	280220	bigger
280220	280480	here
280540	280780	it's
280780	281140	way
281140	281420	easier
281420	281580	to
281580	281840	find
281960	282380	like
282480	283080	[*]
283080	283500	your
283500	283860	people
284000	284300	because
284380	284520	like
284540	284840	[*]
284840	285080	you
285080	285320	have
285320	285520	options
285520	285820	[*]
285820	286140	instead
286140	286400	of
286460	286560	you
286560	286720	know
286740	287580	[*]
287580	287700	82
287700	288100	people
288100	288540	to
288540	288820	pick
288820	289160	from
289240	289720	yeah
296600	300120	[*]
300120	301520	I'd
301520	301660	say
301660	301960	easier
301960	302240	[*]
302240	302920	yeah
303080	303580	[*]
303580	304140	yeah
304240	304380	like
304440	304720	meeting
304720	305260	[*]
305260	305960	people
305960	306320	that
306320	306780	are
306780	307340	[*]
307340	307920	interested
307920	308340	in
308340	308940	similar
308940	309460	things
309460	309620	and
309620	309860	kind
309860	310100	of
310100	312160	[*]
312160	312440	working
312440	312820	towards
312820	313200	things
313200	313480	that
313480	313680	I
313720	314660	[*]
314660	315060	like
315180	315420	respect
315420	315660	and
315660	315860	find
315860	316260	interesting
316560	316840	as
316840	317020	well
317020	317140	has
317140	317320	been
317320	317900	very
317900	318320	nice
318520	319960	[*]
319960	320500	yeah
320620	321100	[*]
321100	321200	yeah
321260	321420	it's
321420	321600	been
321600	322140	[*]
322140	322740	very
322740	323040	helpful
323160	323280	I
323280	323480	think
326600	331900	[*]
331900	332760	Um
333060	335500	[*]
335500	335800	well
335960	336400	the
336400	337520	[*]
337520	338000	type
338000	338320	of
338320	338560	people
338560	338820	I'm
338820	339040	friends
339040	339300	with
339300	339520	now
339520	339720	has
339720	340060	definitely
340060	340800	changed
342020	342400	Growing
342400	342600	[*]
342600	342740	up
342740	343140	[*]
343140	343360	again
343420	343620	since
343620	343740	I
343740	343920	lived
343920	344000	in
344000	344100	a
344100	344220	really
344220	344380	small
344380	344640	town
344700	344800	I
344800	344960	didn't
344960	345100	have
345100	345280	a
345280	345640	huge
345640	346220	choice
346220	346640	of
346640	347020	friends
347380	348600	[*]
348600	349040	yeah
349040	352020	[*]
352020	352260	a
352260	352920	lot
352920	353140	of
353140	353800	a
353800	354260	lot
354260	354400	of
354400	354880	drugs
354880	355040	and
355040	355240	stuff
355240	355380	in
355380	355520	my
355520	355760	school
355820	355980	too
356040	356160	that
356160	356300	was
356300	356460	not
356460	356840	exactly
356840	357200	my
357200	357480	cup
357480	357660	of
357660	357840	tea
357840	358140	growing
358140	358480	up
358560	359260	um
359540	360260	[*]
360260	360680	yeah
360800	360980	just
361040	361740	everyone's
361760	362680	that
362680	362920	I'm
362920	363080	friends
363080	363300	with
363300	363500	is
363500	363720	really
363720	363880	trying
363880	364200	to
364200	364580	do
364580	365080	something
365080	365320	with
365320	365620	themselves
365860	366020	you
366020	366160	know
366200	366540	[*]
366540	367020	my
367020	367360	girlfriend
367360	367720	is
367720	367940	going
367940	368260	to
368260	368740	[*]
368740	368880	nursing
368880	369260	school
369260	369460	here
369680	369900	and
369900	370260	that's
370260	371220	[*]
371220	371480	tied
371480	371720	for
371720	371860	the
371860	372440	top
372440	372820	[*]
372820	373220	public
373220	373620	nursing
373620	373840	[*]
373840	373980	school
373980	374140	in
374140	374240	the
374240	375000	nation
375200	375480	so
375560	376060	like
376160	376300	that's
376300	376460	pretty
376460	376620	cool
376800	377620	and
377620	377740	then
377740	377860	I
377860	378020	have
378020	378220	my
378220	378600	grad
378600	378980	student
378980	379320	friends
379460	379680	they're
379680	379780	all
379780	380060	doing
380120	380340	like
380400	380540	really
380540	380720	cool
380720	381060	things
382700	382960	[*]
382960	383460	Yeah
383580	383860	just
384020	385420	[*]
385420	385600	I
385600	385960	[*]
385960	386140	just
386140	386300	think
386300	386480	I'm
386480	386600	around
386600	386820	better
386820	387160	people
387160	387220	I'm
387220	387240	around
387240	387260	better
387260	387280	people
387280	387560	honestly
388560	389340	[*]
389340	389580	Yeah
393280	393300	Good
393420	393480	I
393480	393500	like
393500	393520	it
394480	394500	Yeah
394500	395060	Yeah
407920	407940	I
407940	408160	guess
408260	408380	what
408380	408440	do
408440	408540	you
408540	408660	mean
408660	408820	by
408820	409060	that
412740	414540	[*]
414540	415840	Like...
416500	417420	[*]
417420	417980	Yeah
418100	418220	I
418220	418420	mean
418420	419620	[*]
419620	419880	I
419880	420500	[*]
420500	420700	mean
420860	422160	[*]
422160	422740	where
422740	422920	I
422920	423140	work
423140	423300	right
423300	423420	[*]
423420	423540	now
423580	423740	because
423740	423840	I
423940	424220	I
424220	425540	[*]
425540	425720	work
425720	425940	in
425940	426060	an
426060	426260	interior
426260	426580	design
426580	426900	store
426900	427580	part-time
427620	427760	just
427760	427900	in
427900	428020	their
428020	428300	warehouse
428540	428800	just
428880	429080	you
429080	429240	know
429260	429480	pay
429480	429700	rent
429900	430360	[*]
430360	430920	and
430920	431340	[*]
431340	431840	that's
431840	432680	[*]
432680	433680	it's
433680	433920	different
434000	434480	it's
434480	434580	kind
434580	434760	of
434760	434960	different
434960	435140	than
435140	435280	what
435280	435420	I
435420	435600	have
435600	435780	done
435780	436160	previously
436160	436520	for
436520	436760	work
436820	437000	because
437000	437120	I've
437120	437280	done
437400	437760	[*]
437760	438040	I
438040	438220	worked
438220	438380	for
438380	438540	my
438540	438800	dad
438800	439000	doing
439000	439380	[*]
439380	439500	construction
439500	440080	[*]
440080	440240	over
440240	440360	the
440360	440740	summers
440740	441120	for
441120	441660	[*]
441660	442000	years
442340	443320	and
443320	443480	I
443480	443660	worked
443660	443820	at
443820	444080	a
444500	444520	um
444720	445280	grocery
445280	445900	store
445900	446160	in
446160	446480	my
446480	446500	hometown
446500	446740	When
446740	447340	[*]
447340	447460	I
447460	447580	was
447580	447660	in
447660	447800	high
447800	448160	school
449500	449900	So
449900	450360	that's
450360	450900	[*]
450900	451220	kind
451220	451420	of
451420	451740	similar
451900	452300	because
452300	452480	I
452480	452720	also
452720	452960	worked
452960	453120	for
453120	453300	my
453300	453880	uncle
454000	454160	and
454160	454320	he
454400	454820	like
454880	455240	so
455340	456340	[*]
456340	457040	does
457600	458000	runs
458000	458260	a
458260	458600	gutter
458600	458820	supply
458820	459200	business
459460	459760	so
459760	460040	it's
460040	460300	just
460300	460520	a
460520	460680	lot
460680	460780	of
460780	461400	warehouse-type
461400	461580	stuff
461580	461820	there
461900	462020	so
462020	462140	I
462140	462240	do
462240	462380	kind
462380	462540	of
462540	462660	do
462660	462840	some
462840	462960	of
462960	463080	the
463080	463260	same
463260	463440	[*]
463440	463580	things
463640	463880	but
463880	464200	[*]
464200	464560	it's
464560	464700	also
464700	464820	a
464820	464940	little
464940	465280	different
465480	466160	[*]
466160	466560	but
466560	466840	my
466920	468720	[*]
468720	469200	my
469200	469660	volunteer
469660	469840	research
469840	470380	assistant
470380	470820	position
470820	471080	is
471080	471580	completely
471580	472300	different
472300	472720	from
472720	473180	[*]
473180	473480	anything
473480	473780	I've
473780	473880	done
473880	474140	before
474140	474380	which
474380	474780	is...
475300	475800	I
475800	476060	like
476300	476460	I
476460	476640	really
476640	476860	like
476860	477180	it
477300	477740	It's
477740	477980	definitely
477980	478240	the
478240	478480	type
478480	478580	of
478580	478780	things
478780	478900	that
478900	479100	I'm
479100	479380	interested
479380	479660	in
479720	480700	[*]
480700	480980	so
481120	481520	yeah
482760	485320	[*]
485320	486580	Um
486800	487200	the
487200	487720	lab
487720	487920	that
487920	488180	I'm
488180	488360	in
488360	488740	[*]
488740	489180	does
489180	489360	a
489360	489500	lot
489500	489600	of
489600	489860	stuff
489860	490180	with
490180	490340	[*]
490340	490560	the
490560	491280	[*]
491280	491740	neural
491740	492200	controls
492200	492380	[*]
492380	492640	of
492640	492680	[*]
492680	493600	metabolism
493600	494000	[*]
494000	494140	and
494140	494280	feeding
494280	494600	[*]
494600	494800	behavior
495020	495340	things
495340	495540	like
495540	495760	that
496540	497060	They're
497060	497120	in
497120	497320	the
497320	497720	Bowen
497720	497960	Science
497960	498260	Building
498380	498700	actually
498780	499040	just
499100	499560	you
499560	499760	know
499780	500060	[*]
500060	500260	yeah
502360	504340	[*]
504340	504580	Amazing
505340	505640	[*]
505640	505820	Thank
505820	505840	you
506360	506720	Um
506720	507760	[*]
507760	508000	not
508000	508040	those
508040	508060	changes
508060	519680	[*]
519680	520420	I
520420	521300	[*]
521300	521820	mean
521820	524680	[*]
524680	524820	my
524820	525660	transition
525660	525960	[*]
525960	526140	to
526140	526460	college
526460	526700	was
526700	526800	a
526800	526980	little
526980	527200	rough
527280	527460	because
527460	527560	I
527560	527740	did
527740	527880	have
527880	528020	a
528020	528180	hard
528180	528460	time
528460	528840	finding
529140	529480	like
529700	530440	[*]
530440	530900	my
530900	531300	people
531480	532160	you
532160	532480	know
532500	532680	making
532680	533040	friends
533100	533520	And
533520	534280	also
534360	534680	just
534760	534880	I
534880	535000	was
535000	535220	very
535220	535280	low
535280	535300	on
535300	535320	my
535320	535340	education
536200	536280	Mm-hmm
536280	536320	lost
536320	536340	in
536340	536360	what
536360	536460	I
536460	536660	was
536660	537180	[*]
537180	537760	doing
538000	538580	like
538700	538820	what
538820	538880	I
538880	539080	wanted
539080	539240	to
539240	539420	do
539460	539600	what
539600	539680	I
539680	539860	was
539880	539960	like
540040	540140	here
540140	540420	for
540540	541740	[*]
541740	542000	so
542000	543380	[*]
543380	544400	that
544400	544720	was
544720	544920	kind
544920	545060	of
545060	545460	rough
545620	545880	but
545880	546380	[*]
546380	547200	I
547200	547900	got
547900	548220	through
548220	548460	it
548540	548760	and
548760	549440	[*]
549440	549840	I'm
549840	549940	here
549940	550180	now
550280	550500	so
550500	550900	I've
550960	551380	[*]
551380	551680	yeah
551800	551840	I
551840	551960	guess
551960	552100	I'm
552100	552200	doing
552200	552300	all
552300	552500	right
554060	554660	I
554660	555080	don't
555080	555180	know
555180	555440	about
555480	555700	like
555760	556180	resources
556180	556480	and
556480	556840	stuff
556900	557680	but
557680	558180	[*]
558180	558480	I
558480	559400	don't
559400	559540	know
559560	559700	what
559700	559820	all
559820	560080	have
560080	560280	I
560280	560640	[*]
560640	560760	used
560980	561200	I
561200	561320	mean
561320	561460	I
561460	561520	went
561520	561740	[*]
561740	561860	to
561860	562060	I
562060	562200	used
562200	562320	to
562320	562440	go
562440	562660	to
562660	563140	[*]
563140	563640	counseling
564060	565120	[*]
565120	565280	like
565340	565740	therapy
565900	566660	went
566660	566760	to
566760	567020	student
567020	567440	health
567440	567720	there
567720	568060	for
568060	568200	a
568200	568460	while
569400	569960	[*]
569960	570240	That
570240	570460	was
570460	570760	helpful
571000	573380	[*]
573380	573580	What
573580	573780	[*]
573780	573980	else
574220	575360	[*]
575360	575760	I
575760	575940	mean
575980	576240	talking
576240	576560	with
576560	577040	a
577040	577380	couple
577380	577460	of
577460	577580	my
577580	577960	professors
577960	578320	had
578320	578560	been
578560	579160	helpful
579920	580520	and
580680	580960	I
580960	581160	mean
581200	581720	I
581720	582680	[*]
582680	582860	forget
582860	583120	what
583120	583320	year
583320	583520	it
583520	583720	was
583760	583920	but
583920	584000	I
584000	584160	took
584160	584280	a
584280	584540	behavioral
584540	584940	neuroscience
584940	585480	class
585860	586600	and
586600	586780	I
586780	586960	went
586960	587200	into
587200	587520	the
587520	588000	[*]
588000	588420	guy's
588420	588640	office
588640	589080	hours
589080	589380	just
589380	589540	to
589540	589740	talk
589740	589940	about
589940	590120	what
590120	590340	he
590340	590600	worked
590600	590960	[*]
590960	591080	on
591080	591240	and
591240	591440	things
591440	591720	like
591720	591940	that
592040	592560	and
592560	592720	he
592720	592960	offered
592960	593400	to
593400	593700	show
593700	593900	me
593900	594020	his
594020	594240	lab
594320	594440	and
594440	594540	I
594540	594620	got
594620	594780	to
594780	594940	see
594940	595140	a
595140	595460	grad
595460	595840	student
595840	596320	doing
597080	597580	like
597700	598020	operating
598020	598300	on
598300	598520	a
598520	598960	[*]
598960	599340	lab
599340	599580	[*]
599580	599720	rat
599720	599880	with
599880	600060	a
600060	600620	stereotactic
600620	600980	device
601140	601260	and
601260	601400	that
601400	601600	was
601600	601820	just
601820	602340	amazing
602340	602820	to
602820	603080	see
604180	604740	Yeah
605520	606000	[*]
606000	606240	yeah
606360	606400	I
606400	606540	don't
606540	606720	I
606720	606920	don't
606920	607000	know
607000	607260	about
607260	607700	other
607820	608000	like
608040	608400	resources
608400	608720	[*]
608720	608900	exactly
609160	609380	though
620880	621220	[*]
621220	621760	Um
621960	622260	[*]
622260	623200	I
623200	623500	mean
623560	624020	[*]
624020	624220	get
624220	624500	my
624500	625340	engineering
625340	625700	[*]
625700	625860	degree
626160	626840	[*]
626840	627620	I'm
627620	628940	not
628940	629700	entirely
629700	629980	[*]
629980	630960	set
630960	631440	on
631440	632160	where
632160	632480	I'm
632480	632560	going
632560	632680	to
632680	632780	go
632780	632960	with
632960	633160	that
633160	633300	I
633300	633420	might
633420	633540	go
633540	633700	to
633700	633820	grad
633820	634140	[*]
634140	634280	school
634420	635180	[*]
635180	635460	I
635460	635760	might
635760	636520	[*]
636520	636840	do
636840	637180	something
637180	637480	else
637580	637780	I'm
637780	637900	really
637900	638260	interested
638260	638600	in
639280	639880	[*]
639880	640740	I
640740	640860	don't
640860	640940	know
640960	641060	I'm
641060	641220	interested
641220	641480	in
641480	641580	a
641580	641720	lot
641720	641860	of
641860	642060	things
642120	642240	but
642240	642420	I'm
642420	642500	really
642500	642780	interested
642780	643160	in
643160	643480	like
643600	644080	programming
644080	644240	and
644240	644460	learning
644460	644740	about
644760	644940	like
645020	645240	AI
645240	645460	type
645460	645620	of
645620	645960	stuff
646040	646360	[*]
646360	647040	things
647040	647240	like
647240	647460	that
648280	649480	and
649480	649680	just
649680	650160	technology
650160	650560	around
650560	650720	that
650720	650960	type
650960	651100	of
651100	651340	stuff
651640	652400	But
652500	652560	yeah
652660	652760	I
652840	653180	[*]
653180	653560	I
653560	653760	could
653760	653920	go
653920	654020	in
654020	654080	a
654080	654200	lot
654200	654260	of
654260	654500	different
654500	654940	directions
654940	655220	with
655220	655420	that
655420	655560	and
655560	655740	just
655740	655960	kind
655960	656080	of
656080	656220	see
656220	656480	what
656480	657200	[*]
657200	657860	time
657860	658260	brings
658360	658520	I
658520	658700	guess
658860	659480	[*]
659480	659840	Yeah
663500	663780	[*]
663780	664240	I
664240	664520	don't
664520	664620	know
664640	664840	It's
664840	664940	just
664940	665380	really
665380	665760	interesting
665940	666100	and
666100	666180	I
666180	666360	see
666360	666460	a
666460	666680	lot
666680	666900	of
666900	667080	[*]
667080	667620	potential
667620	668020	with
668020	668280	it
669420	669720	[*]
669720	670140	Yeah
670260	670460	just
670580	671120	like
671240	671340	so
671340	671520	much
671520	671880	potential
672100	672300	and
672300	672520	just
672520	672880	learning
672880	673060	about
673060	673240	how
673240	673440	it
673440	673800	works
673980	674240	and
674240	674840	things
674840	675080	like
675080	675300	that
676120	676460	[*]
676460	676860	I
676860	676980	don't
676980	677060	know
677120	677200	I
677200	677240	could
677320	677480	I
677480	677620	just
677620	677740	see
677740	677860	a
677860	677960	lot
677960	678040	of
678040	678200	use
678200	678500	cases
678500	678700	for
678700	678900	it
678960	679040	I
679040	679200	guess
680880	686200	[*]
686200	687200	I'm
687200	687360	not
687360	687620	super
687620	687920	[*]
687920	688060	sure
688220	688660	[*]
688660	688860	I
689000	689360	I
689360	689580	could
689580	689780	really
689780	689980	go
689980	690220	either
690220	690460	way
690520	690760	It's
690760	690960	just
690960	691220	kind
691220	691380	[*]
691380	691540	of
691540	693100	[*]
693100	693540	just
693540	693800	see
693800	693980	what
693980	694360	happens
694360	694740	and
694740	695280	[*]
695280	695380	kind
695380	695840	[*]
695840	696160	of
696180	696840	yeah
696940	697360	where
697360	697520	the
697520	697680	winds
697680	697880	take
697880	698120	me
698160	698280	I
698280	698440	guess
709320	709660	[*]
709660	710160	I
710160	710360	mean
710420	710620	I
710880	711400	I'd
711400	711560	really
711560	711760	like
711760	711940	to
711940	712060	stay
712060	712160	in
712160	712520	contact
712520	712900	with
712900	713180	the
713180	713900	[*]
713900	714440	friends
714440	714580	that
714580	714700	I
714700	714880	have
714880	715020	right
715020	715320	now
715320	715480	I
715480	715680	don't
715680	715800	know
715800	715900	how
715900	716160	well
716160	716760	that'll
716760	717000	work
717060	717220	because
717220	717440	they're
717440	717600	all
718800	719380	none
719380	719500	of
719500	719680	them
719680	719760	are
719760	720000	[*]
720000	720160	originally
720160	720420	from
720420	720660	around
720660	721040	here
721140	721480	[*]
721480	721760	really
722000	722540	And
722700	723240	I
723240	723480	mean
723500	724440	[*]
724440	724560	my
724560	724780	one
724780	725000	friend
725000	725340	is
725340	725760	[*]
725760	726640	originally
726640	726980	from
726980	727360	Morocco
727640	728400	lived
728400	728900	in
728900	729540	[*]
729540	729720	France
729720	729960	for
729960	730080	a
730080	730360	while
730360	730540	and
730540	730720	grew
730720	730900	up
730900	731000	in
731000	731120	the
731120	731460	Caribbean
731760	731940	and
731940	732040	then
732120	732240	like
732280	732500	my
732500	732680	other
732680	732840	two
732840	733120	friends
733120	733260	are
733260	733460	each
